city,state_id,lat,lng,population,timezone,military
Pickens,SC,34.8857,-82.7103,3170,America/New_York,False
Underwood-Petersville,AL,34.877,-87.6975,3170,America/Chicago,False
Salmon,ID,45.1743,-113.8948,3169,America/Boise,False
Jones,OK,35.5662,-97.2901,3169,America/Chicago,False
Cold Spring,NY,41.4191,-73.9545,3168,America/New_York,False
Tunkhannock,PA,41.5413,-75.9483,3167,America/New_York,False
Morada,CA,38.0386,-121.2456,3166,America/Los_Angeles,False
Madison,OH,41.7722,-81.053,3166,America/New_York,False
Zellwood,FL,28.7301,-81.5915,3166,America/New_York,False
Parowan,UT,37.8326,-112.8296,3165,America/Denver,False
Williamsburg,IA,41.6683,-92.0103,3164,America/Chicago,False
Greentown,IN,40.4766,-85.9623,3164,America/Indiana/Indianapolis,False
Hidden Springs,ID,43.7198,-116.2512,3164,America/Boise,False
Amesti,CA,36.9583,-121.7805,3163,America/Los_Angeles,False
East Richmond Heights,CA,37.945,-122.314,3162,America/Los_Angeles,False
Oak Ridge North,TX,30.157,-95.4421,3161,America/Chicago,False
Cadiz,OH,40.2644,-80.9981,3161,America/New_York,False
West Union,OH,38.7917,-83.5441,3161,America/New_York,False
North Brooksville,FL,28.5731,-82.3745,3161,America/New_York,False
El Cenizo,TX,27.3318,-99.5028,3161,America/Matamoros,False
South Eliot,ME,43.1287,-70.7952,3160,America/New_York,False
Early,TX,31.745,-98.9375,3160,America/Chicago,False
Monte Grande,PR,18.0895,-67.1201,3159,America/Puerto_Rico,False
Weaverville,CA,40.7488,-122.9274,3158,America/Los_Angeles,False
Pitcairn,PA,40.4079,-79.7765,3158,America/New_York,False
Kings Bay Base,GA,30.7985,-81.5628,3158,America/New_York,True
Galena,IL,42.4218,-90.4293,3158,America/Chicago,False
Rockwood,MI,42.0705,-83.243,3158,America/Detroit,False
Ladysmith,WI,45.4606,-91.0972,3157,America/Chicago,False
Boscobel,WI,43.1435,-90.6951,3156,America/Chicago,False
Dakota Dunes,SD,42.4919,-96.4867,3156,America/Chicago,False
South Blooming Grove,NY,41.3735,-74.179,3155,America/New_York,False
Newton,MS,32.3296,-89.1534,3155,America/Chicago,False
Delta,OH,41.5753,-84.0084,3154,America/New_York,False
Liberty,SC,34.7904,-82.6962,3154,America/New_York,False
Wynantskill,NY,42.6881,-73.6467,3154,America/New_York,False
Lucedale,MS,30.9312,-88.5959,3153,America/Chicago,False
Walbridge,OH,41.5864,-83.4929,3153,America/New_York,False
Haskell,TX,33.1597,-99.732,3153,America/Chicago,False
Moose Lake,MN,46.4445,-92.7634,3151,America/Chicago,False
Minden,NV,38.9609,-119.7688,3151,America/Los_Angeles,False
Meadowdale,WA,47.8583,-122.3159,3151,America/Los_Angeles,False
Tierras Nuevas Poniente,PR,18.4614,-66.4891,3150,America/Puerto_Rico,False
Homestead,PA,40.4074,-79.9097,3149,America/New_York,False
Soperton,GA,32.3782,-82.5944,3148,America/New_York,False
High Bridge,WA,47.7968,-122.0281,3148,America/Los_Angeles,False
Nevada City,CA,39.2607,-121.0231,3148,America/Los_Angeles,False
Lebanon,VA,36.8993,-82.0777,3147,America/New_York,False
Pine City,MN,45.8367,-92.9683,3146,America/Chicago,False
Eleele,HI,21.9088,-159.5801,3145,Pacific/Honolulu,False
Lake Success,NY,40.768,-73.7089,3144,America/New_York,False
Reamstown,PA,40.2113,-76.118,3142,America/New_York,False
Pleasant Valley,WV,39.4505,-80.1552,3141,America/New_York,False
Zillah,WA,46.4084,-120.2725,3140,America/Los_Angeles,False
Blanchard,LA,32.609,-93.8842,3140,America/Chicago,False
Granville,WV,39.6471,-79.9974,3140,America/New_York,False
Tomahawk,WI,45.4746,-89.7228,3140,America/Chicago,False
Burlington,CO,39.3041,-102.2714,3140,America/Denver,False
Salunga,PA,40.0929,-76.4279,3139,America/New_York,False
Beulah,ND,47.2665,-101.7733,3139,America/North_Dakota/Beulah,False
Nokomis,IL,39.3001,-89.2854,3139,America/Chicago,False
Orchidlands Estates,HI,19.557,-155.0142,3139,Pacific/Honolulu,False
Versailles,OH,40.2225,-84.4832,3139,America/New_York,False
Centerville,PA,40.03,-79.9632,3139,America/New_York,False
Sheridan,IN,40.132,-86.2197,3139,America/Indiana/Indianapolis,False
Landis,NC,35.5484,-80.6116,3138,America/New_York,False
Cottondale,AL,33.1922,-87.4544,3136,America/Chicago,False
Petersburg,AK,56.7566,-132.8727,3136,America/Sitka,False
Brackenridge,PA,40.6079,-79.7411,3135,America/New_York,False
Denmark,SC,33.3152,-81.1366,3135,America/New_York,False
Bicknell,IN,38.7743,-87.3078,3134,America/Indiana/Vincennes,False
Okemah,OK,35.4297,-96.3005,3132,America/Chicago,False
Hamburg,NJ,41.1485,-74.5736,3131,America/New_York,False
Netcong,NJ,40.8985,-74.7019,3131,America/New_York,False
Yorkville,WI,42.7155,-88.0097,3130,America/Chicago,False
Heron Bay,GA,33.3393,-84.1922,3130,America/New_York,False
Avondale Estates,GA,33.7699,-84.2648,3129,America/New_York,False
Hogansville,GA,33.1674,-84.9027,3128,America/New_York,False
Greenwood,LA,32.436,-93.9635,3128,America/Chicago,False
Marin City,CA,37.8711,-122.5137,3126,America/Los_Angeles,False
Rochester,WA,46.8288,-123.0722,3126,America/Los_Angeles,False
Cleveland,OK,36.3002,-96.4631,3125,America/Chicago,False
Thiensville,WI,43.236,-87.9785,3125,America/Chicago,False
Needville,TX,29.3957,-95.8387,3125,America/Chicago,False
Oakland,FL,28.5535,-81.6357,3123,America/New_York,False
Marion,AL,32.6318,-87.3172,3123,America/Chicago,False
Mount Penn,PA,40.3287,-75.8897,3121,America/New_York,False
San Andreas,CA,38.1911,-120.6763,3120,America/Los_Angeles,False
Henrietta,TX,33.8147,-98.1925,3118,America/Chicago,False
Hiawatha,KS,39.8517,-95.5381,3118,America/Chicago,False
Lake Pocotopaug,CT,41.5961,-72.5124,3117,America/New_York,False
Wesleyville,PA,42.1369,-80.0123,3117,America/New_York,False
Paddock Lake,WI,42.5707,-88.1044,3116,America/Chicago,False
Gosnell,AR,35.9645,-89.9721,3116,America/Chicago,False
Abingdon,IL,40.8039,-90.401,3115,America/Chicago,False
North Lakeville,MA,41.8619,-70.9411,3114,America/New_York,False
Kellogg,ID,47.5371,-116.142,3113,America/Los_Angeles,False
Bean Station,TN,36.3322,-83.2852,3113,America/New_York,False
Shackle Island,TN,36.3775,-86.6168,3112,America/Chicago,False
Island Walk,FL,26.2511,-81.711,3112,America/New_York,False
Mineral Springs,NC,34.9411,-80.6846,3111,America/New_York,False
Arcadia,WI,44.2486,-91.4915,3110,America/Chicago,False
Beechwood,MI,42.7982,-86.123,3109,America/Detroit,False
Blue Earth,MN,43.6404,-94.1004,3108,America/Chicago,False
Wallburg,NC,36.0088,-80.1453,3107,America/New_York,False
Jamestown,CA,37.9574,-120.411,3107,America/Los_Angeles,False
North Cape May,NJ,38.9766,-74.9516,3107,America/New_York,False
Beechwood Trails,OH,40.0252,-82.6463,3106,America/New_York,False
Milbank,SD,45.2194,-96.634,3103,America/Chicago,False
South Jacksonville,IL,39.7024,-90.2292,3102,America/Chicago,False
New Holstein,WI,43.9491,-88.0942,3102,America/Chicago,False
Blountville,TN,36.533,-82.329,3102,America/New_York,False
